original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"In 1993, Maureen’s six-year-old daughter Amina is snuck out of the country by her ex-husband, Karim. After years of unsuccessful attempts to find her, Maureen intersects with a professional retriever of internationally abducted children who promises to help her find Amina in exchange for her collaboration.",Stolen Girl,26000000,92691,110,2025-09-04,294.0708,6.686,35,"['Thriller', 'Action', 'Adventure']"
ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",Demon Slayer: Kimetsu no Yaiba Infinity Castle,20000000,643612593,156,2025-07-18,261.8345,7.793,474,"['Animation', 'Action', 'Fantasy', 'Thriller']"
kn,"Martin revolves around Lt. Brigadier Arjun Saxena, whose journey takes him from Pakistan to India to discover his real identity and fight against black market dealers, who are involved with terrorists to orchestrate massive attacks in the country.",Martin,17647000,3247000,147,2024-10-11,271.658,2.1,8,"['Action', 'Drama', 'Thriller']"
en,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,The Conjuring: Last Rites,55000000,482377782,135,2025-09-03,238.216,7.0,1080,['Horror']
en,"When The Strangers learn that one of their victims, Maya, is still alive, they return to finish what they’ve started.",The Strangers: Chapter 2,8500000,11577352,98,2025-09-25,150.7366,5.85,70,"['Horror', 'Thriller']"
en,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",Black Phone 2,30000000,48029470,114,2025-10-15,169.9398,7.434,98,"['Horror', 'Thriller']"
hi,"Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.",War 2,47000000,3096145,173,2025-08-13,140.4594,5.258,31,"['Action', 'Adventure', 'Thriller']"
en,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",The Fantastic 4: First Steps,200000000,521651414,115,2025-07-23,147.739,7.118,2039,"['Science Fiction', 'Adventure']"
en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",KPop Demon Hunters,100000000,19200000,96,2025-06-20,135.5859,8.254,1721,"['Fantasy', 'Music', 'Comedy', 'Animation']"
en,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",xXx,70000000,277448382,124,2002-08-09,143.1813,5.964,4592,"['Action', 'Adventure', 'Thriller', 'Crime']"
ml,"The adoptive son of the Adattu family, Marco, sets off on a ruthless quest for vengeance after his brother is brutally murdered, finding only betrayal, loss and unimaginable brutality at every step.",Marco,3467000,11559000,145,2024-12-20,129.0635,6.5,75,"['Action', 'Crime', 'Thriller']"
en,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Mission: Impossible - The Final Reckoning,400000000,598056261,170,2025-05-17,119.0939,7.274,1979,"['Action', 'Adventure', 'Thriller']"
en,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",Superman,225000000,615800000,130,2025-07-09,106.8958,7.4,3647,"['Science Fiction', 'Adventure', 'Action']"
en,"After a mother and son get in a car wreck, they soon become hunted by Bambi, a mutated grief-stricken deer on a deadly rampage seeking revenge for the death of his mother and wife.",Bambi: The Reckoning,325000,475347,80,2025-07-11,89.172,6.008,64,"['Horror', 'Thriller']"
en,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",TRON: Ares,180000000,103000000,119,2025-10-08,94.493,6.453,276,"['Science Fiction', 'Adventure', 'Action']"
en,"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",The Roses,30600000,49589664,105,2025-08-27,94.3183,7.1,208,"['Comedy', 'Drama', 'Romance']"
en,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",Jurassic World Rebirth,180000000,886268018,134,2025-07-01,83.6919,6.4,2338,"['Science Fiction', 'Adventure', 'Action']"
en,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Weapons,38000000,265894217,129,2025-08-04,76.467,7.383,1945,"['Horror', 'Mystery']"
en,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",The Long Walk,20000000,42650783,109,2025-09-10,173.3332,6.985,336,"['Thriller', 'Science Fiction', 'Horror']"
en,"With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",Valiant One,10000000,1236630,86,2025-01-30,76.5187,6.463,54,"['War', 'Thriller', 'Action']"
en,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",One Battle After Another,130000000,162500000,162,2025-09-23,75.7742,7.7,964,"['Action', 'Thriller', 'Crime']"
en,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",How to Train Your Dragon,150000000,635213100,125,2025-06-06,71.1286,8.018,2078,"['Fantasy', 'Family', 'Action', 'Adventure']"
en,"Gabby heads out on a road trip with her Grandma Gigi to the urban wonderland of Cat Francisco. But when Gabby's dollhouse, her most prized possession, ends up in the hands of an eccentric cat lady named Vera, Gabby sets off on an adventure through the real world to get the Gabby Cats back together and save the dollhouse before it's too late.",Gabby's Dollhouse: The Movie,32000000,45973395,98,2025-09-13,67.7336,7.185,27,"['Family', 'Comedy', 'Adventure', 'Animation']"
