budget,revenue,runtime,popularity,vote_average,vote_count,movie_age,original_language_encoded,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
26000000,92691,110,294.0708,6.686,35,0.16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20000000,643612593,156,261.8345,7.793,474,0.3,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17647000,3247000,147,271.658,2.1,8,1.06,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55000000,482377782,135,238.216,7.0,1080,0.17,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8500000,11577352,98,150.7366,5.85,70,0.11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
30000000,48029470,114,169.9398,7.434,98,0.05,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
47000000,3096145,173,140.4594,5.258,31,0.22,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200000000,521651414,115,147.739,7.118,2039,0.28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000000,19200000,96,135.5859,8.254,1721,0.37,4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70000000,277448382,124,143.1813,5.964,4592,23.24,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3467000,11559000,145,129.0635,6.5,75,0.87,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
400000000,598056261,170,119.0939,7.274,1979,0.47,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225000000,615800000,130,106.8958,7.4,3647,0.32,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
325000,475347,80,89.172,6.008,64,0.31,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
180000000,103000000,119,94.493,6.453,276,0.07,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30600000,49589664,105,94.3183,7.1,208,0.19,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
180000000,886268018,134,83.6919,6.4,2338,0.34,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38000000,265894217,129,76.467,7.383,1945,0.25,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20000000,42650783,109,173.3332,6.985,336,0.15,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
10000000,1236630,86,76.5187,6.463,54,0.76,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
130000000,162500000,162,75.7742,7.7,964,0.11,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150000000,635213100,125,71.1286,8.018,2078,0.41,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
